2023-06-05 15:01:48.246 febs [main] INFO  cc.mrbird.febs.FebsApplication - Starting FebsApplication on qinzhiyingdeMacBook-Pro.local with PID 6782 (/Users/windqzy/IdeaProjects/FEBS-Vue/backend/target/classes started by windqzy in /Users/windqzy/IdeaProjects/FEBS-Vue)
2023-06-05 15:02:35.811 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.1) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2023-06-05 15:02:35.811 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
2023-06-05 15:02:35.811 febs [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.1
2023-06-05 15:02:35.811 febs [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@41582899
2023-06-05 15:02:35.881 febs [main] INFO  p6spy - 2023-06-05 15:02:35 | 耗时 24 ms | SQL 语句：
select job_id jobId, bean_name beanName, method_name methodName, params, cron_expression cronExpression, status, remark, create_time createTime from t_job order by job_id;
2023-06-05 15:02:36.487 febs [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2023-06-05 15:02:36.579 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'taskExecutor'
2023-06-05 15:02:36.599 febs [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2023-06-05 15:02:37.213 febs [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2023-06-05 15:02:37.281 febs [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2023-06-05 15:02:37.291 febs [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2023-06-05 15:02:37.314 febs [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2023-06-05 15:02:37.384 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_1
2023-06-05 15:02:37.390 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_2
2023-06-05 15:02:37.398 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_3
2023-06-05 15:02:37.402 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_4
2023-06-05 15:02:37.410 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_5
2023-06-05 15:02:37.429 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_6
2023-06-05 15:02:37.439 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_7
2023-06-05 15:02:37.451 febs [main] INFO  s.d.s.w.r.o.CachingOperationNameGenerator - Generating unique operation named: exportUsingPOST_8
2023-06-05 15:02:37.464 febs [main] INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
2023-06-05 15:02:37.464 febs [main] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED started.
2023-06-05 15:02:37.472 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9527"]
2023-06-05 15:02:37.481 febs [scheduling-1] INFO  cc.mrbird.febs.common.task.CacheTask - delete expired user
2023-06-05 15:02:37.488 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9527 (http) with context path ''
2023-06-05 15:02:37.490 febs [main] INFO  cc.mrbird.febs.FebsApplication - Started FebsApplication in 4.152 seconds (JVM running for 4.429)
2023-06-05 15:02:37.494 febs [main] INFO  c.m.f.common.runner.CacheInitRunner - Redis连接中 ······
2023-06-05 15:02:37.495 febs [main] INFO  c.m.f.common.runner.CacheInitRunner - 缓存初始化 ······
2023-06-05 15:02:37.495 febs [main] INFO  c.m.f.common.runner.CacheInitRunner - 缓存用户数据 ······
2023-06-05 15:02:37.517 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 4 ms | SQL 语句：
SELECT USER_ID,description,password,modify_time,email,ssex,mobile,dept_id,avatar,last_login_time,create_time,status,username FROM t_user;
2023-06-05 15:02:37.532 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 11 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.password, u.email, u.mobile, u. STATUS, u.create_time createTime, u.ssex, d.dept_id deptId, d.dept_name deptName, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME lastLoginTime, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'mrbird' group by u.username, u.user_id, u.password, u.email, u.mobile, u.STATUS, u.create_time, u.ssex, d.dept_id, d.dept_name, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME;
2023-06-05 15:02:37.560 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 1 ms | SQL 语句：
select r.* from t_role r left join t_user_role ur on (r.role_id = ur.role_id) left join t_user u on (u.user_id = ur.user_id) where u.username = 'mrbird';
2023-06-05 15:02:37.574 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 6 ms | SQL 语句：
select distinct m.perms from t_role r left join t_user_role ur on (r.role_id = ur.role_id) left join t_user u on (u.user_id = ur.user_id) left join t_role_menu rm on (rm.role_id = r.role_id) left join t_menu m on (m.menu_id = rm.menu_id) where u.username = 'mrbird' and m.perms is not null and m.perms <> '';
2023-06-05 15:02:37.587 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 2 ms | SQL 语句：
SELECT USER_ID,layout,color,multi_page,fix_siderbar,fix_header,theme FROM t_user_config WHERE USER_ID='1' ;
2023-06-05 15:02:37.591 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 0 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.password, u.email, u.mobile, u. STATUS, u.create_time createTime, u.ssex, d.dept_id deptId, d.dept_name deptName, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME lastLoginTime, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'scott' group by u.username, u.user_id, u.password, u.email, u.mobile, u.STATUS, u.create_time, u.ssex, d.dept_id, d.dept_name, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME;
2023-06-05 15:02:37.593 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 0 ms | SQL 语句：
select r.* from t_role r left join t_user_role ur on (r.role_id = ur.role_id) left join t_user u on (u.user_id = ur.user_id) where u.username = 'scott';
2023-06-05 15:02:37.596 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 0 ms | SQL 语句：
select distinct m.perms from t_role r left join t_user_role ur on (r.role_id = ur.role_id) left join t_user u on (u.user_id = ur.user_id) left join t_role_menu rm on (rm.role_id = r.role_id) left join t_menu m on (m.menu_id = rm.menu_id) where u.username = 'scott' and m.perms is not null and m.perms <> '';
2023-06-05 15:02:37.598 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 0 ms | SQL 语句：
SELECT USER_ID,layout,color,multi_page,fix_siderbar,fix_header,theme FROM t_user_config WHERE USER_ID='2' ;
2023-06-05 15:02:37.601 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 0 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.password, u.email, u.mobile, u. STATUS, u.create_time createTime, u.ssex, d.dept_id deptId, d.dept_name deptName, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME lastLoginTime, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'jack' group by u.username, u.user_id, u.password, u.email, u.mobile, u.STATUS, u.create_time, u.ssex, d.dept_id, d.dept_name, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME;
2023-06-05 15:02:37.603 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 0 ms | SQL 语句：
select r.* from t_role r left join t_user_role ur on (r.role_id = ur.role_id) left join t_user u on (u.user_id = ur.user_id) where u.username = 'jack';
2023-06-05 15:02:37.605 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 0 ms | SQL 语句：
select distinct m.perms from t_role r left join t_user_role ur on (r.role_id = ur.role_id) left join t_user u on (u.user_id = ur.user_id) left join t_role_menu rm on (rm.role_id = r.role_id) left join t_menu m on (m.menu_id = rm.menu_id) where u.username = 'jack' and m.perms is not null and m.perms <> '';
2023-06-05 15:02:37.607 febs [main] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 0 ms | SQL 语句：
SELECT USER_ID,layout,color,multi_page,fix_siderbar,fix_header,theme FROM t_user_config WHERE USER_ID='12' ;
2023-06-05 15:02:37.608 febs [main] INFO  c.m.f.common.runner.StartedUpRunner -  __    ___   _      ___   _     ____ _____  ____ 
2023-06-05 15:02:37.609 febs [main] INFO  c.m.f.common.runner.StartedUpRunner - / /`  / / \ | |\/| | |_) | |   | |_   | |  | |_  
2023-06-05 15:02:37.609 febs [main] INFO  c.m.f.common.runner.StartedUpRunner - \_\_, \_\_/ |_|  | |_|   |_|__ |_|__  |_|  |_|__ 
2023-06-05 15:02:37.609 febs [main] INFO  c.m.f.common.runner.StartedUpRunner -                                                       
2023-06-05 15:02:37.609 febs [main] INFO  c.m.f.common.runner.StartedUpRunner - FEBS 启动完毕，时间：2023-06-05T15:02:37.609
2023-06-05 15:02:37.822 febs [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-05 15:02:37.822 febs [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-05 15:02:37.824 febs [RMI TCP Connection(2)-127.0.0.1] INFO  p6spy - 2023-06-05 15:02:37 | 耗时 1 ms | SQL 语句：
select 1;
2023-06-05 15:02:37.829 febs [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2023-06-05 15:03:00.907 febs [http-nio-9527-exec-2] INFO  c.m.febs.common.aspect.LimitAspect - IP:127.0.0.1 第 1 次访问key为 [limit_login127.0.0.1]，描述为 [登录接口] 的接口
2023-06-05 15:03:00.959 febs [http-nio-9527-exec-2] INFO  p6spy - 2023-06-05 15:03:00 | 耗时 2 ms | SQL 语句：
UPDATE t_user SET last_login_time='2023-06-05T15:03:00.947+0800' WHERE (username = 'mrbird');
2023-06-05 15:03:00.961 febs [http-nio-9527-exec-2] INFO  p6spy - 2023-06-05 15:03:00 | 耗时 1 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.password, u.email, u.mobile, u. STATUS, u.create_time createTime, u.ssex, d.dept_id deptId, d.dept_name deptName, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME lastLoginTime, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'mrbird' group by u.username, u.user_id, u.password, u.email, u.mobile, u.STATUS, u.create_time, u.ssex, d.dept_id, d.dept_name, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME;
2023-06-05 15:03:00.969 febs [http-nio-9527-exec-2] INFO  p6spy - 
2023-06-05 15:03:00.990 febs [http-nio-9527-exec-2] INFO  p6spy - 2023-06-05 15:03:00 | 耗时 9 ms | SQL 语句：
INSERT INTO t_login_log ( login_time, ip, location, username ) VALUES ( '2023-06-05T15:03:00.976+0800', '127.0.0.1', '', 'mrbird' );
2023-06-05 15:03:00.994 febs [http-nio-9527-exec-2] INFO  p6spy - 
2023-06-05 15:03:01.048 febs [http-nio-9527-exec-4] INFO  c.m.f.common.authentication.JWTUtil - token is valid
2023-06-05 15:03:01.068 febs [http-nio-9527-exec-4] INFO  p6spy - 2023-06-05 15:03:01 | 耗时 3 ms | SQL 语句：
select m.* from t_menu m where m.type <> 1 and m.MENU_ID in (select distinct rm.menu_id from t_role_menu rm left join t_role r on (rm.role_id = r.role_id) left join t_user_role ur on (ur.role_id = r.role_id) left join t_user u on (u.user_id = ur.user_id) where u.username = 'mrbird') order by m.order_num;
2023-06-05 15:03:01.212 febs [http-nio-9527-exec-6] INFO  c.m.f.common.authentication.JWTUtil - token is valid
2023-06-05 15:03:01.217 febs [http-nio-9527-exec-6] INFO  p6spy - 2023-06-05 15:03:01 | 耗时 2 ms | SQL 语句：
select count(1) from t_login_log;
2023-06-05 15:03:01.220 febs [http-nio-9527-exec-6] INFO  p6spy - 2023-06-05 15:03:01 | 耗时 1 ms | SQL 语句：
select count(1) from t_login_log where datediff(login_time,now())=0;
2023-06-05 15:03:01.222 febs [http-nio-9527-exec-6] INFO  p6spy - 2023-06-05 15:03:01 | 耗时 1 ms | SQL 语句：
select count(distinct(ip)) from t_login_log where datediff(login_time,now())=0;
2023-06-05 15:03:01.225 febs [http-nio-9527-exec-6] INFO  p6spy - 2023-06-05 15:03:01 | 耗时 1 ms | SQL 语句：
select date_format(l.login_time, '%m-%d') days, count(1) count from ( select * from t_login_log where date_sub(curdate(), interval 7 day) <= date(login_time) ) as l where 1 = 1 group by days;
2023-06-05 15:03:01.227 febs [http-nio-9527-exec-6] INFO  p6spy - 2023-06-05 15:03:01 | 耗时 1 ms | SQL 语句：
select date_format(l.login_time, '%m-%d') days, count(1) count from ( select * from t_login_log where date_sub(curdate(), interval 7 day) <= date(login_time) ) as l where 1 = 1 and l.username = 'mrbird' group by days;
2023-06-05 15:04:31.815 febs [http-nio-9527-exec-9] INFO  c.m.f.common.authentication.JWTUtil - token is valid
2023-06-05 15:04:31.847 febs [http-nio-9527-exec-9] INFO  p6spy - 2023-06-05 15:04:31 | 耗时 4 ms | SQL 语句：
UPDATE t_user SET avatar='20180414165821.jpg' WHERE (username = 'mrbird');
2023-06-05 15:04:31.852 febs [http-nio-9527-exec-9] INFO  p6spy - 2023-06-05 15:04:31 | 耗时 3 ms | SQL 语句：
SELECT u.user_id userId, u.username, u.password, u.email, u.mobile, u. STATUS, u.create_time createTime, u.ssex, d.dept_id deptId, d.dept_name deptName, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME lastLoginTime, GROUP_CONCAT(r.role_id) roleId, GROUP_CONCAT(r.ROLE_NAME) roleName FROM t_user u LEFT JOIN t_dept d ON (u.dept_id = d.dept_id) LEFT JOIN t_user_role ur ON (u.user_id = ur.user_id) LEFT JOIN t_role r ON r.role_id = ur.role_id WHERE u.username = 'mrbird' group by u.username, u.user_id, u.password, u.email, u.mobile, u.STATUS, u.create_time, u.ssex, d.dept_id, d.dept_name, u.AVATAR, u.DESCRIPTION, u.LAST_LOGIN_TIME;
2023-06-05 15:04:31.863 febs [http-nio-9527-exec-9] INFO  p6spy - 
